Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
51 1475.81 879.00 12.688091 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
27 403.23 871.50 16.015172 4.88668 0 1.50999 0 0 0 0 0 0 0 0.10552 0.714804 0.1314 0 92.6516
53 1016.13 803.00 14.408124 4.36937 0 1.36675 0 0 0 0 0 0 0 0.10805 0.642893 0.104105 0 93.4088
46 1169.35 792.10 14.165443 4.57635 0 1.4334 0 0 0 0 0 0 0 0.114743 0.673971 0.107207 0 93.0943
52 1322.58 785.80 12.875622 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
52 1475.81 876.00 12.685672 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
52 709.68 813.20 20.646889 20.5702 0 6.25566 0 0 0 0 0 0 0 0.361202 2.90927 0.751055 0 69.1526
52 862.90 813.80 15.335040 6.72499 0 2.09522 0 0 0 0 0 0 0 0.159396 0.98921 0.164523 0 89.8667
28 403.23 870.50 16.316635 5.99595 0 1.85128 0 0 0 0 0 0 0 0.128249 0.877285 0.161575 0 90.9857
46 556.45 836.70 19.130876 15.9489 0 4.90189 0 0 0 0 0 0 0 0.322662 2.34514 0.422467 0 76.059
53 1475.81 873.00 12.683285 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
53 1322.58 785.70 12.892481 0.0817269 0 0.0257266 0 0 0 0 0 0 0 0.00215485 0.0120267 0.00186965 0 99.8765
54 1475.81 870.00 12.680931 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
29 403.23 869.50 16.615440 7.05624 0 2.17694 0 0 0 0 0 0 0 0.149525 1.03267 0.190548 0 89.3941
53 709.68 812.20 21.079097 21.4794 0 6.50858 0 0 0 0 0 0 0 0.357715 2.99585 0.858994 0 67.7994
54 1016.13 802.00 14.738420 5.68964 0 1.77768 0 0 0 0 0 0 0 0.139007 0.837518 0.135954 0 91.4202
53 862.90 812.80 15.651769 7.87847 0 2.45209 0 0 0 0 0 0 0 0.184666 1.15931 0.193243 0 88.1322
47 556.45 835.70 19.405468 16.6401 0 5.11099 0 0 0 0 0 0 0 0.333875 2.4473 0.441559 0 75.0261
54 1322.58 786.10 12.875726 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
47 1169.35 791.10 14.505256 5.94346 0 1.85934 0 0 0 0 0 0 0 0.147149 0.875717 0.139658 0 91.0347
30 403.23 868.50 16.911580 8.07059 0 2.48799 0 0 0 0 0 0 0 0.169457 1.1814 0.218388 0 87.8722
55 1475.81 867.00 12.678612 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
55 1016.13 801.00 15.066324 6.94396 0 2.16715 0 0 0 0 0 0 0 0.167646 1.02258 0.166395 0 89.5323
54 862.90 811.80 15.965998 8.97831 0 2.79162 0 0 0 0 0 0 0 0.208154 1.32163 0.220779 0 86.4795
54 709.68 811.20 21.504119 22.338 0 6.74735 0 0 0 0 0 0 0 0.354373 3.07766 0.960874 0 66.5218
48 1169.35 790.10 14.842666 7.2399 0 2.26223 0 0 0 0 0 0 0 0.177035 1.06722 0.170629 0 89.083
